epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.857,1.59452,1.59866,1.43138,0.63771,0.49811,0.53711,0.32107,1.4813,1.27672,1.422,0.000472523,0.000472523,0.000472523
2,93.0454,1.45399,1.21573,1.33195,0.77847,0.51556,0.5754,0.38039,1.32378,1.17304,1.25339,0.000939462,0.000939462,0.000939462
3,131.606,1.46049,1.19807,1.31724,0.65625,0.50243,0.55899,0.33238,1.38407,1.11097,1.32645,0.00139697,0.00139697,0.00139697
4,170.872,1.40818,1.15875,1.29613,0.76908,0.51546,0.58367,0.3669,1.28101,1.16739,1.25931,0.00138656,0.00138656,0.00138656
5,210.019,1.37163,1.12024,1.28016,0.86871,0.44798,0.58168,0.37763,1.22674,1.16969,1.19056,0.00137241,0.00137241,0.00137241
6,248.747,1.32618,1.07405,1.2546,0.76718,0.53606,0.60377,0.39964,1.18806,0.91025,1.1799,0.00135826,0.00135826,0.00135826
7,288.454,1.31539,1.05256,1.24384,0.78178,0.52935,0.60757,0.42322,1.13039,0.94498,1.12342,0.00134412,0.00134412,0.00134412
8,327.655,1.30246,1.03558,1.23366,0.74278,0.55749,0.61935,0.41902,1.15075,0.86959,1.12739,0.00132997,0.00132997,0.00132997
9,366.482,1.27321,1.0017,1.21419,0.7187,0.55114,0.61435,0.40284,1.19427,0.86557,1.14731,0.00131582,0.00131582,0.00131582
10,405.61,1.26813,0.99741,1.21014,0.71244,0.56155,0.62909,0.42757,1.1347,0.84199,1.1047,0.00130168,0.00130168,0.00130168
11,444.406,1.22612,0.9655,1.19958,0.78631,0.56941,0.64492,0.43983,1.06436,0.79086,1.0894,0.00128753,0.00128753,0.00128753
12,483.932,1.24577,0.97886,1.1901,0.74358,0.56233,0.61895,0.43145,1.10958,0.83511,1.09461,0.00127338,0.00127338,0.00127338
13,522.935,1.20166,0.94515,1.18764,0.76825,0.56699,0.63782,0.44089,1.0926,0.79381,1.09151,0.00125923,0.00125923,0.00125923
14,561.77,1.2154,0.95239,1.18477,0.77393,0.57566,0.65491,0.45475,1.06799,0.7852,1.07907,0.00124509,0.00124509,0.00124509
15,600.916,1.21736,0.94905,1.18642,0.73754,0.57283,0.64092,0.45411,1.05211,0.77688,1.04493,0.00123094,0.00123094,0.00123094
16,640.239,1.18581,0.9253,1.16387,0.78331,0.58686,0.66418,0.45452,1.08082,0.76601,1.05516,0.00121679,0.00121679,0.00121679
17,679.189,1.15225,0.88803,1.15552,0.73502,0.55251,0.62498,0.43665,1.08012,0.81909,1.07273,0.00120265,0.00120265,0.00120265
18,718.014,1.1638,0.90411,1.15087,0.709,0.57564,0.64614,0.45393,1.05418,0.77785,1.06549,0.0011885,0.0011885,0.0011885
