epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.678,2.22901,4.27566,1.25548,0.03088,0.01732,0.01625,0.0106,2.04576,4.49399,1.1349,0.0001904,0.0001904,0.0001904
2,595.351,2.38665,3.48042,1.19331,0.02187,0.05408,0.0242,0.0138,1.99088,3.95716,1.11408,0.000378749,0.000378749,0.000378749
3,858.577,2.35226,2.83899,1.16637,0.24417,0.04518,0.03827,0.02026,2.06714,2.81409,1.12586,0.000559337,0.000559337,0.000559337
4,1131.75,2.2466,2.37717,1.16103,0.35273,0.05448,0.04909,0.02325,1.94489,2.26944,1.1096,0.000553073,0.000553073,0.000553073
5,1400.07,2.27721,2.2152,1.17419,0.16469,0.07534,0.04931,0.02159,2.01365,2.04497,1.1103,0.00054143,0.00054143,0.00054143
6,1675.01,2.20139,2.04147,1.15859,0.16473,0.09462,0.05984,0.02794,1.83806,1.94961,1.08466,0.000529788,0.000529788,0.000529788
7,1932.81,2.11137,1.94358,1.13876,0.21509,0.08646,0.06343,0.03119,1.79249,1.95828,1.08043,0.000518146,0.000518146,0.000518146
8,2192.75,2.10818,1.86153,1.12325,0.20056,0.11149,0.06846,0.03414,1.75271,1.82827,1.06967,0.000506503,0.000506503,0.000506503
9,2449.36,2.08794,1.83413,1.1199,0.14687,0.10918,0.07765,0.04025,1.74687,1.75486,1.06057,0.000494861,0.000494861,0.000494861
10,2709.19,2.06312,1.78177,1.10916,0.13955,0.10741,0.07951,0.03773,1.79713,1.78516,1.06318,0.000483218,0.000483218,0.000483218
