epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02568,1.46082,4.40093,1.22206,0.00575,0.33333,0.33167,0.2985,1.29968,4.59521,1.0283,2.142e-05,2.142e-05,2.142e-05
2,9.63682,1.82927,4.86486,1.2715,0.00469,0.33333,0.33167,0.2985,1.28697,4.59111,1.02407,4.7506e-05,4.7506e-05,4.7506e-05
3,14.5724,1.92828,4.58882,1.41505,0.00383,0.33333,0.33167,0.2985,1.23526,4.57704,1.00906,7.07645e-05,7.07645e-05,7.07645e-05
4,18.8561,1.71023,4.8092,1.21912,0.00383,0.33333,0.33167,0.2985,1.23526,4.57704,1.00906,9.11957e-05,9.11957e-05,9.11957e-05
5,23.17,1.62957,4.23163,1.22207,0.00347,0.33333,0.33167,0.2985,1.20157,4.56841,0.99873,0.000108799,0.000108799,0.000108799
6,27.5044,1.85974,4.16261,1.37574,0.00347,0.33333,0.33167,0.2985,1.20157,4.56841,0.99873,0.000123576,0.000123576,0.000123576
7,31.5399,1.62903,4.457,1.19095,0.00324,0.33333,0.33167,0.2985,1.1329,4.56194,0.98569,0.000135524,0.000135524,0.000135524
8,36.0061,1.72275,4.09407,1.21192,0.00324,0.33333,0.33167,0.2985,1.1329,4.56194,0.98569,0.000144646,0.000144646,0.000144646
9,40.2399,1.72953,4.12125,1.30833,0.00324,0.33333,0.33167,0.2985,1.1329,4.56194,0.98569,0.00015094,0.00015094,0.00015094
10,44.2878,1.37825,3.96302,1.22769,0.00258,0.33333,0.16583,0.14925,0.9857,4.55654,0.94405,0.000154406,0.000154406,0.000154406
11,48.346,1.41228,4.24698,1.18551,0.00258,0.33333,0.16583,0.14925,0.9857,4.55654,0.94405,0.000155045,0.000155045,0.000155045
12,52.3053,1.56179,4.25169,1.20347,0.00258,0.33333,0.16583,0.14925,0.9857,4.55654,0.94405,0.000152857,0.000152857,0.000152857
13,56.2185,1.7263,4.65135,1.35035,0.00258,0.33333,0.16583,0.14925,0.9857,4.55654,0.94405,0.000147841,0.000147841,0.000147841
14,60.0341,1.73219,3.76018,1.25918,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,0.000139998,0.000139998,0.000139998
15,63.9497,1.81377,4.44199,1.27101,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,0.000129327,0.000129327,0.000129327
16,67.8613,1.62923,3.75694,1.13635,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,0.000115829,0.000115829,0.000115829
17,72.1204,1.61887,3.67544,1.20122,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,9.9503e-05,9.9503e-05,9.9503e-05
18,75.8613,1.70804,5.29028,1.0223,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,8.035e-05,8.035e-05,8.035e-05
19,79.9155,1.5063,3.82816,1.2679,0.00267,0.33333,0.08292,0.06633,1.12528,4.55939,0.94679,5.83695e-05,5.83695e-05,5.83695e-05
20,83.8316,1.58611,4.22311,1.1381,0.00295,0.33333,0.04738,0.0379,1.13231,4.57414,0.95192,3.35616e-05,3.35616e-05,3.35616e-05
