epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23029,1.01388,4.82978,1.03453,0.00704,0.08333,0.00453,0.00136,2.33394,4.83684,1.57295,2.142e-05,2.142e-05,2.142e-05
2,5.80672,1.31471,5.05784,1.19865,0.00641,0.08333,0.00504,0.00353,2.20881,4.85769,1.44486,4.7506e-05,4.7506e-05,4.7506e-05
3,8.47781,1.75809,5.79186,1.26522,0.00467,0.08333,0.0063,0.00441,2.19156,4.80034,1.47005,7.07645e-05,7.07645e-05,7.07645e-05
4,10.9084,1.43003,4.75486,1.26712,0.00467,0.08333,0.0063,0.00441,2.19156,4.80034,1.47005,9.11957e-05,9.11957e-05,9.11957e-05
5,14.8856,1.68881,4.9869,1.33792,0.00407,0.08333,0.04295,0.03007,2.13363,4.77535,1.43942,0.000108799,0.000108799,0.000108799
6,19.0968,1.14923,4.08721,1.19268,0.00407,0.08333,0.04295,0.03007,2.13363,4.77535,1.43942,0.000123576,0.000123576,0.000123576
7,23.9249,1.05448,4.12459,1.0134,0.00413,0.08333,0.08423,0.05896,2.07349,4.73191,1.42489,0.000135524,0.000135524,0.000135524
8,28.496,1.38198,4.80024,1.09218,0.00413,0.08333,0.08423,0.05896,2.07349,4.73191,1.42489,0.000144646,0.000144646,0.000144646
9,32.4881,1.40495,4.41449,1.13643,0.00413,0.08333,0.08423,0.05896,2.07349,4.73191,1.42489,0.00015094,0.00015094,0.00015094
10,36.1214,0.8797,4.30855,0.95489,0.00476,0.08333,0.08449,0.06759,2.10364,4.70246,1.28515,0.000154406,0.000154406,0.000154406
11,39.8243,1.39838,4.76854,1.05989,0.00476,0.08333,0.08449,0.06759,2.10364,4.70246,1.28515,0.000155045,0.000155045,0.000155045
12,43.1025,1.53375,6.07381,1.08032,0.00476,0.08333,0.08449,0.06759,2.10364,4.70246,1.28515,0.000152857,0.000152857,0.000152857
13,46.5056,1.60278,6.46179,1.11894,0.00476,0.08333,0.08449,0.06759,2.10364,4.70246,1.28515,0.000147841,0.000147841,0.000147841
14,50.1096,1.31597,4.6496,1.2274,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,0.000139998,0.000139998,0.000139998
15,54.6567,1.26904,4.61905,1.0707,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,0.000129327,0.000129327,0.000129327
16,58.2684,1.2529,4.85381,1.01742,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,0.000115829,0.000115829,0.000115829
17,62.599,1.18942,4.46435,1.06587,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,9.9503e-05,9.9503e-05,9.9503e-05
18,65.96,1.318,6.05721,1.20994,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,8.035e-05,8.035e-05,8.035e-05
19,69.5532,1.22622,4.96035,1.17627,0.01506,0.22619,0.08705,0.04845,1.85907,4.56239,1.13712,5.83695e-05,5.83695e-05,5.83695e-05
20,72.8604,1.20807,4.9496,0.97027,0.01396,0.22619,0.09996,0.06742,1.74162,4.36651,1.12505,3.35616e-05,3.35616e-05,3.35616e-05
