epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85963,1.46082,4.40093,1.22206,0.00575,0.33333,0.33167,0.2985,1.29968,4.59521,1.0283,2.142e-05,2.142e-05,2.142e-05
2,8.57403,1.82949,4.86478,1.27141,0.00463,0.33333,0.33167,0.2985,1.28592,4.59111,1.02377,4.94852e-05,4.94852e-05,4.94852e-05
3,12.7661,1.92309,4.58926,1.41173,0.00375,0.33333,0.33167,0.2985,1.23031,4.57597,1.00835,7.69849e-05,7.69849e-05,7.69849e-05
4,16.49,1.70743,4.79924,1.21569,0.00375,0.33333,0.33167,0.2985,1.23031,4.57597,1.00835,0.000103919,0.000103919,0.000103919
5,21.3057,1.61303,4.20158,1.21478,0.00351,0.33333,0.33167,0.2985,1.1992,4.56211,1.00017,0.000130288,0.000130288,0.000130288
6,25.3106,1.83932,4.12544,1.36883,0.00351,0.33333,0.33167,0.2985,1.1992,4.56211,1.00017,0.000156091,0.000156091,0.000156091
7,30.9616,1.64383,4.38179,1.18094,0.00292,0.33333,0.33167,0.2985,1.08698,4.54512,0.97883,0.000181329,0.000181329,0.000181329
8,34.962,1.69226,4.00294,1.21433,0.00292,0.33333,0.33167,0.2985,1.08698,4.54512,0.97883,0.000206001,0.000206001,0.000206001
9,39.0006,1.7198,4.06288,1.30339,0.00292,0.33333,0.33167,0.2985,1.08698,4.54512,0.97883,0.000230108,0.000230108,0.000230108
10,43.4164,1.37325,3.65236,1.1877,0.0026,0.33333,0.11056,0.08844,1.09712,4.56294,0.95234,0.000253649,0.000253649,0.000253649
11,49.1715,2.05033,4.14487,1.79193,0.0026,0.33333,0.11056,0.08844,1.09712,4.56294,0.95234,0.000276625,0.000276625,0.000276625
12,55.4132,1.71017,3.58248,1.35608,0.0026,0.33333,0.11056,0.08844,1.09712,4.56294,0.95234,0.000299035,0.000299035,0.000299035
13,61.8657,1.88603,4.14167,1.40328,0.0026,0.33333,0.11056,0.08844,1.09712,4.56294,0.95234,0.00032088,0.00032088,0.00032088
14,69.1476,2.00531,4.86307,1.10263,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.00034216,0.00034216,0.00034216
15,75.5727,1.42527,3.4788,1.17095,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.000362873,0.000362873,0.000362873
16,81.6976,1.34684,3.43839,0.99929,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.000383022,0.000383022,0.000383022
17,88.897,1.67512,2.81592,1.24334,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.000402605,0.000402605,0.000402605
18,95.626,1.74634,3.79981,1.17871,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.000421622,0.000421622,0.000421622
19,101.99,1.74442,4.04451,1.30229,0.0024,0.33333,0.16583,0.08292,1.29724,4.56008,0.99838,0.000440074,0.000440074,0.000440074
20,108.08,1.49826,3.12132,1.07103,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.00045796,0.00045796,0.00045796
21,114.741,1.71102,3.38777,1.1244,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000475281,0.000475281,0.000475281
22,121.981,1.62198,3.2589,1.06595,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000492037,0.000492037,0.000492037
23,128.584,1.54159,3.18862,1.07902,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000508227,0.000508227,0.000508227
24,136.308,1.30469,2.88882,1.02028,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000523851,0.000523851,0.000523851
25,144.655,1.6103,3.00815,1.33319,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.00053891,0.00053891,0.00053891
26,151.567,1.47784,2.50427,1.09333,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000537285,0.000537285,0.000537285
27,157.115,1.77583,2.71634,1.29676,0.00991,0.66667,0.07862,0.0484,1.38195,4.57065,1.06536,0.000530216,0.000530216,0.000530216
28,163.787,1.09232,4.57259,0.85892,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000523148,0.000523148,0.000523148
29,170.284,1.4294,2.69596,1.12106,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000516079,0.000516079,0.000516079
30,177.309,1.44398,1.64637,0.96459,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000509011,0.000509011,0.000509011
31,183.984,1.7796,2.48416,1.04843,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000501942,0.000501942,0.000501942
32,190.518,1.64847,2.4194,1.10667,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000494873,0.000494873,0.000494873
33,197.31,1.61189,2.23648,1.03302,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000487805,0.000487805,0.000487805
34,202.814,1.45179,2.34719,1.10179,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000480736,0.000480736,0.000480736
35,208.435,1.24186,4.79576,0.93236,0.46978,0.33333,0.16879,0.10009,1.3198,4.69731,1.13264,0.000473668,0.000473668,0.000473668
36,213.956,1.42615,2.33433,1.07864,0.82955,0.33333,0.23217,0.14593,1.43506,4.89679,1.18397,0.000466599,0.000466599,0.000466599
37,219.991,1.50864,2.02878,1.09883,0.82955,0.33333,0.23217,0.14593,1.43506,4.89679,1.18397,0.00045953,0.00045953,0.00045953
38,226.533,1.46859,2.02843,0.95766,0.82955,0.33333,0.23217,0.14593,1.43506,4.89679,1.18397,0.000452462,0.000452462,0.000452462
39,233.678,1.43962,2.27761,1.04264,0.82955,0.33333,0.23217,0.14593,1.43506,4.89679,1.18397,0.000445393,0.000445393,0.000445393
